;CODIGO;TP;GRUPO;DESCRICAO;U.M.;ARMZ;SALDO FISICO;;;;CURVA;;
1;M1000038;MC;M100;PLACA  DE APERTO DA FACA  AGLU;PC;02;4;#REF!;2541798,17;#REF!;B;M1000038;
2;M1888888;MC;M100;FACA CORTE CABECA GRANULACAO;PC;02;160;#REF!;2541798,17;#REF!;A;M1888888;
3;M1007777;MC;M100;PASTILHA AGLUTINADOR DORMENTE;PC;02;4;#REF!;2541798,17;#REF!;B;M1007777;
4;M1006666;MC;M100;ENSERTOS DAS PASTILHAS;PC;02;4;#REF!;2541798,17;#REF!;B;M1006666;
5;M1000107;MC;M100;FACAS DE CORTE MAQUINA EREMA;PC;02;290;#REF!;2541798,17;#REF!;A;M1000107;
6;M1000119;MC;M100;FACA 4X40X38 – EREMA;PC;02;19;#REF!;2541798,17;#REF!;A;M1000119;
7;M1000120;MC;M100;FACA PARA TRITURADOR – WNR 1.2436 VC 131 - STF;PC;02;28;#REF!;2541798,17;#REF!;A;M1000120;
8;M1000121;MC;M100;CONTRA FACA PARA TRITURADOR – WNR 1.2436 VC 131 - STF;PC;02;8;#REF!;2541798,17;#REF!;A;M1000121;
9;M1010116;MC;M101;PARAF ALLEN C/C M20X80;CT;02;1.21;#REF!;2541798,17;#REF!;B;M1010116;
10;M1010391;MC;M101;ANEL BRONZE- CB 230;PC;02;1;#REF!;2541798,17;#REF!;B;M1010391;
11;M1010432;MC;M101;ANEL DE APOIO Ø 250X37MM-ACO;PC;02;1;#REF!;2541798,17;#REF!;B;M1010432;
12;M1010433;MC;M101;DISCO DE APOIO Ø 249,80X10MM-BRONZE;PC;02;2;#REF!;2541798,17;#REF!;B;M1010433;
13;M1010441;MC;M101;PARAF. ALLEM S/C M12X25;CT;02;2.16;#REF!;2541798,17;#REF!;B;M1010441;
14;M1010444;MC;M101;PARAF.ALLEN M8X25MM C/C BAIXA INOX;CT;02;1.40;#REF!;2541798,17;#REF!;B;M1010444;
15;M1010451;MC;M101;SUPORTE P/PASTILHA-HELICE AQUECIMENTO;PC;02;3;#REF!;2541798,17;#REF!;B;M1010451;
16;M1010467;MC;M101;ARRUELA LISA ACO 6 X 60,5 X 76 P/TUBO DE AQUECIMENTO DA CRUZETA;PC;02;15;#REF!;2541798,17;#REF!;B;M1010467;
17;M1010477;MC;M101;PARAF SEXT FLANGEADO M18 X 60 10.9 SEIBT;CT;02;0.23;#REF!;2541798,17;#REF!;B;M1010477;
18;M1010480;MC;M101;"PARAF. ALLEN 1X16"" C/ PORCA (ROCLA )";PC;02;10;#REF!;2541798,17;#REF!;A;M1010480;
19;M1010482;MC;M101;ANEL BRONZE - CB190;PC;02;1;#REF!;2541798,17;#REF!;B;M1010482;
20;M1010488;MC;M101;PARA SEXT 3/4 X 4´´;CT;02;0.22;#REF!;2541798,17;#REF!;B;M1010488;
